Date,Bangs
Apr 3,1
Apr 4,0
Apr 5,5
Apr 6,1
Apr 7,1
Apr 9,1
Apr 17,2
Apr 18,4
Apr 19,2
Apr 20,0
Apr 28,0
Apr 29,3
May 2,2
May 3,1
May 4,2
May 9,0
May 10,1
May 19,2
May 20,2
May 22,3
May 23,6
May 24,3
May 28,28
Jun 9,7
Jun 10,13
Jun 11,17
Jun 12,36
Jun 14,6
Jun 16,17
Jun 28,26
Jun 29,40
Jun 30,44
Jul 1,41
Jul 14,48
Jul 15,37
Jul 16,27
Jul 17,31
Jul 19,43
Jul 31,28
Aug 1,39
Aug 3,41
Aug 4,54
Aug 5,23
Aug 6,37
Aug 17,35
Aug 18,37
Aug 19,16
Aug 20,45
Aug 22,33
Aug 23,29
Aug 24,47
Sep 3,24
Sep 15,37
Sep 19,35
Sep 20,31
Sep 21,41
Sep 22,1
Sep 24,1
