Date,AJ Reed,Alex Bregman,Brian McCann,Cameron Maybin,Carlos Beltran,Carlos Correa,Derek Fisher,Evan Gattis,George Springer,J.D. Davis,Jake Marisnick,Jose Altuve,Josh Reddick,Juan Centeno,Marwin Gonzalez,Max Stassi,Norichika Aoki,Tony Kemp,Tyler White,Yuli Gurriel,Grand Total
3-Apr,,0,0,,0,0,,,0,,,1,0,,,,0,,,0,1
4-Apr,,0,0,,0,0,,0,0,,,0,0,,0,,,,,,0
5-Apr,,0,,,2,0,,0,0,,0,2,0,,0,,0,,,1,5
6-Apr,,,0,,0,0,,,1,,0,0,0,,0,,0,,,0,1
7-Apr,,0,,,0,0,,0,1,,,0,0,,0,,0,,,0,1
9-Apr,,0,0,,0,0,,0,0,,0,1,0,,0,,0,,,0,1
17-Apr,,0,,,0,,,0,0,,,2,0,,0,,0,,,0,2
18-Apr,,1,2,,0,,,,0,,0,0,0,,1,,0,,,0,4
19-Apr,,0,0,,,,,0,0,,,1,0,,1,,0,,,0,2
20-Apr,,0,0,,0,0,,0,0,,0,0,,,0,,,,,,0
28-Apr,,3,,,1,1,,0,0,,,0,0,,,,0,,,0,5
29-Apr,,0,1,,1,0,,0,1,,,0,0,,0,,,,,0,3
2-May,,1,,,0,0,,0,0,,0,1,0,,0,,,,,0,2
3-May,,0,0,,1,0,,,0,,0,0,0,,0,,0,,,,1
4-May,,0,0,,0,0,,0,,,0,0,1,,0,,,,,1,2
9-May,,0,0,,0,0,,,0,,,0,0,,,,0,,,0,0
10-May,,0,,,0,1,,0,0,,0,0,,,0,,,,,0,1
19-May,,0,1,,0,1,,,0,,,0,0,,0,,0,,,0,2
20-May,,2,,,0,0,,0,0,,,0,0,,0,,0,,,0,2
22-May,,0,,,0,1,,1,0,,,0,0,,1,,,,,0,3
23-May,,0,,,3,,,,1,,0,0,0,0,2,,,,,0,6
24-May,,0,,,1,,,0,0,,0,0,,,0,,1,,,1,3
28-May,,,,,4,9,,0,10,,,0,0,,1,,3,,,1,28
9-Jun,,0,0,,0,3,,0,,,3,0,1,,0,,0,,,,7
10-Jun,,1,1,,6,3,,,1,,,1,0,,0,,,,,0,13
11-Jun,,5,,,0,,,1,0,,,0,0,,6,,2,,,3,17
12-Jun,,0,6,,6,6,,,3,,,2,0,,7,,0,,,6,36
14-Jun,,1,0,,0,0,0,,0,,2,0,,,1,,0,,,2,6
16-Jun,,2,2,,2,3,0,3,2,,0,0,,,,,0,,,3,17
28-Jun,,,1,,8,1,,,10,,,0,0,,4,,1,,,1,26
29-Jun,,5,,,7,3,,7,3,,5,1,0,,9,,,,,,40
30-Jun,,5,3,,4,5,,,8,,,1,1,,13,,,,,4,44
1-Jul,,4,,,4,13,,3,3,,2,1,,,8,,,,,3,41
14-Jul,,4,5,,12,5,,,5,,,0,0,,5,,,,,12,48
15-Jul,,6,,,2,7,,6,6,,,1,0,,7,,,,,2,37
16-Jul,,2,3,,,,,,3,,6,0,0,,5,,4,,,4,27
17-Jul,,3,0,,2,3,,,4,,4,0,0,,6,,5,,,4,31
19-Jul,,4,3,,3,,,9,5,,5,2,0,,7,,,,,5,43
31-Jul,0,3,2,,5,,1,10,,,3,0,,,,,,,0,4,28
1-Aug,,1,,,8,,2,8,,,8,1,3,,2,,,,,6,39
3-Aug,4,8,,,2,,5,10,,,5,0,0,,1,,,,3,3,41
4-Aug,,6,5,,5,,0,,,,12,,4,,1,,,,8,13,54
5-Aug,,4,2,,4,,0,,,2,,0,0,,,,,,8,3,23
6-Aug,,7,,,8,,0,,,,6,0,0,3,6,,,,,7,37
17-Aug,,3,,,4,,,,6,5,3,0,,,5,4,,,,5,35
18-Aug,,4,,,2,,,,10,,5,1,2,,6,3,,,,4,37
19-Aug,,2,,,5,,2,,2,,,0,1,1,2,,,,,1,16
20-Aug,,6,,,0,,3,,10,4,10,0,0,3,8,,,,,1,45
22-Aug,,4,,,5,,0,,6,2,,2,0,2,7,1,,,,4,33
23-Aug,,10,,,2,,,,5,,3,0,2,,1,5,,,,1,29
24-Aug,,10,0,,11,,2,,8,1,1,0,4,,8,,,,,2,47
3-Sep,,4,,2,,4,,,3,,,1,1,4,,,,0,5,,24
15-Sep,,1,,7,,5,,4,7,,,0,3,,6,,,,4,,37
19-Sep,,5,0,,4,8,,,5,,,1,1,,4,,,,,7,35
20-Sep,,,,4,,10,1,6,4,,,1,3,,1,,,,,1,31
21-Sep,,6,7,,4,5,,3,6,,,0,1,,4,,,,,5,41
22-Sep,,0,0,0,,,0,0,0,,,0,0,,1,,,0,,0,1
24-Sep,,0,1,0,0,0,,0,0,,,0,0,,,,,,,0,1
